               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020105,             0.02187,          0.00090456,             0.91644,             0.92666,              0.9639,             0.76747,            0.019233,            0.012527,          0.00073361,             0.00307,             0.00307,             0.00307
                  37,             0.01992,            0.021565,          0.00087362,             0.91416,             0.93206,             0.96468,             0.76831,             0.01933,            0.012464,           0.0007312,            0.002872,            0.002872,            0.002872
                  38,            0.019959,            0.022005,          0.00085271,             0.91889,             0.93352,             0.96452,             0.77097,            0.019167,            0.012395,          0.00073909,            0.002674,            0.002674,            0.002674
                  39,            0.019613,            0.021318,          0.00082196,             0.92245,             0.92728,             0.96371,             0.77385,            0.018958,            0.012385,          0.00074227,            0.002476,            0.002476,            0.002476
                  40,            0.019429,            0.021337,           0.0008696,              0.9231,              0.9319,             0.96558,             0.77471,            0.019043,            0.012346,           0.0007073,            0.002278,            0.002278,            0.002278
                  41,            0.019288,            0.021533,          0.00080348,             0.91813,             0.93256,             0.96363,             0.77536,            0.018847,            0.012459,          0.00071619,             0.00208,             0.00208,             0.00208
                  42,            0.019091,            0.021432,          0.00083231,             0.91829,              0.9301,             0.96428,             0.77702,            0.018862,            0.012421,          0.00075676,            0.001882,            0.001882,            0.001882
                  43,            0.019218,            0.020917,          0.00079471,             0.91934,             0.93396,             0.96455,             0.77903,            0.018748,            0.012422,          0.00070063,            0.001684,            0.001684,            0.001684
                  44,            0.018711,              0.0208,          0.00078865,             0.92509,             0.92856,             0.96549,             0.77913,            0.018777,              0.0124,          0.00072565,            0.001486,            0.001486,            0.001486
                  45,            0.018661,            0.020276,          0.00075249,             0.92176,             0.93072,             0.96451,             0.78141,            0.018627,            0.012436,          0.00070016,            0.001288,            0.001288,            0.001288
                  46,            0.018508,            0.020538,          0.00071664,             0.92431,             0.92611,             0.96401,             0.78188,            0.018688,            0.012442,          0.00073659,             0.00109,             0.00109,             0.00109
                  47,            0.018674,            0.020364,          0.00076396,              0.9163,             0.93485,             0.96447,             0.77956,            0.018765,            0.012473,          0.00073972,            0.000892,            0.000892,            0.000892
                  48,            0.018355,            0.020146,          0.00068301,             0.93168,             0.91952,             0.96475,             0.78305,            0.018693,            0.012416,          0.00073017,            0.000694,            0.000694,            0.000694
                  49,             0.01837,            0.020468,          0.00069798,             0.91923,             0.93021,             0.96494,             0.78373,            0.018589,            0.012415,          0.00076964,            0.000496,            0.000496,            0.000496
